名称,户型,面积,朝向,是否装修,有无电梯,总价,单价,产权信息
陆慕刚需房，满五唯一，看房有钥匙,1室1厅,62.51平米,南,毛坯,中楼层(共28层),153,24477,共有
英伦风电梯房 低密度社区 精装复式 带露台 看房找张凤,4室2厅,209.65平米,南 北,精装,高楼层(共9层),820,39113,共有
98平精装自主小三房，楼层好带大金空调，新家具家电,3室2厅,97.27平米,南,精装,23层,172.2,17704,共有
前排沿河，景色优美，中间楼层，三开间南，带独库！！,3室2厅,112.35平米,南 北,精装,中楼层(共4层),330,29373,共有
自住装修 保养好 楼层好 随时可看,3室2厅,99.32平米,南,简装,中楼层(共4层),270,27185,共有
店长推荐 裕花园南北通两房 精装修小高层 看房方便,2室2厅,90.63平米,南 北,精装,中楼层(共17层),127,14014,非共有
西环路湖景房 多层二楼  精装修 看房随时 嘉业阳光城,3室2厅,113平米,南,精装,中楼层(共5层),248,21947,共有
张浦精装三房  湖畔空气佳 居住舒适 带车库 看房方便,3室2厅,84平米,南,简装,高楼层(共5层),73.5,8750,共有
新上新康花园，春在苑复式，采光充足,5室2厅,202平米,南,简装,高楼层(共6层),332,16436,共有
城东人气小区，中南31户型，通透双阳台双卫，满二年！,3室2厅,131.3平米,南 北,精装,高楼层(共33层),239,18203,非共有
宝带熙岸，客厅复式挑高正常高度，带大露台，三室两卫,3室2厅,93.11平米,南,毛坯,高楼层(共11层),222,23843,非共有
依云水岸精装中叠别墅 婚装九成新  带电梯  看房方便,4室2厅,192.34平米,南,精装,3层,435,22617,共有
好房急售，高铁新城，苏大实验旁，通透三居，看房随时,3室2厅,93.93平米,南,毛坯,低楼层(共33层),270,28745,共有
恒基城满二 楼层好采光佳 房东诚心出售 看房随时,3室2厅,89.26平米,南,毛坯,低楼层(共34层),208,23303,非共有
楼层，采光充足视野开阔，S1花溪站，,4室2厅,140.7平米,南 北,毛坯,低楼层(共18层),339,24094,共有
新湘苑满五唯一现浇商品房全明正气三房带独立自行车库,3室2厅,102.1平米,南,精装,高楼层(共6层),304.5,29824,非共有
安元佳苑六区 3室2厅 南,3室2厅,113.12平米,南,简装,中楼层(共4层),192,16974,共有
诚心出售，生活配套成熟，总价低，刚需看，随时看房,2室1厅,50.13平米,南,精装,高楼层(共5层),118,23539,非共有
房东诚心出售，位置好，采光好，有车库,2室1厅,60.02平米,南,简装,低楼层(共5层),122,20327,共有
常发洋房·满二年·近距离S1地铁口和花溪公园！,3室2厅,94.35平米,南,毛坯,中楼层(共6层),184.8,19587,非共有
新出急售好房，房东诚心，三元二村.......,2室1厅,58.76平米,南,精装,6层,129.8,22090,非共有
两南房 户型好 采光充足 楼层好 欢迎看房,2室1厅,58.45平米,南,精装,中楼层(共5层),172,29427,共有
招商依云华苑四房，装修很好，拎包入住,4室2厅,128.97平米,南,精装,中楼层(共27层),335,25976,共有
上叠四个朝南房间，客厅朝南，空间大，得房率高,4室2厅,173.76平米,南,精装,高楼层(共5层),818,47077,共有
万科品质电梯洋房 楼层好一梯两户 无遮挡采光好有车位,3室2厅,84.98平米,南,精装,低楼层(共9层),229,26948,非共有
5号线地铁口睿峰精装2室2厅58万可谈，业主一手房税少,2室2厅,46.63平米,北,精装,高楼层(共22层),57.9,12417,共有
此房税少，地段好，11号线就在家门口，配套成熟！,2室1厅,103平米,南,简装,中楼层(共7层),165,16020,非共有
：满五唯一，配套设施齐全，看房提前联系业主诚心卖,2室1厅,87.56平米,南,毛坯,高楼层(共27层),108,12335,共有
城市新贵 满五唯一 精装两房 一南一北 诚意出售,2室1厅,91平米,南,精装,中楼层(共5层),188,20660,非共有
园区欧尚旁 地铁口 精装两房 诚心出售 看房有钥匙,2室2厅,69.66平米,南 北,精装,中楼层(共4层),186,26702,非共有
玲珑家园 3室2厅 南,3室2厅,142.28平米,南,简装,6层,93,6537,非共有
北美风格精装东边套，户型正，南 北户型，采光 极  好,3室2厅,189.78平米,南,精装,低楼层(共2层),490,25820,共有
全明户型 满五唯一 采光好 户型方正,2室1厅,61.3平米,南,简装,高楼层(共6层),135,22023,非共有
U世代清水毛坯 带阁楼  随时可以看房,3室2厅,85.94平米,南 北,毛坯,高楼层(共27层),175,20364,共有
象屿都城嘉园 业主诚意出售 精装满二,2室2厅,64.84平米,南,精装,高楼层(共35层),140,21592,共有
精装修，保养好，拎包入住，业主性格好，诚心出售,3室2厅,82.25平米,南,精装,中楼层(共34层),171.5,20852,共有
婚装房 全新两房 中间楼层  房东诚售,2室2厅,65.89平米,西南,精装,高楼层(共34层),130,19730,非共有
潼泾新村 2室1厅 南 北,2室1厅,52.18平米,南 北,精装,中楼层(共7层),122,23381,非共有
自住装修，房东置换诚意出售，产证满二，价格可商量,3室2厅,98.75平米,南,精装,低楼层(共25层),259,26228,共有
小高层户型，两房朝南客厅带阳台，满五年，有车位,3室2厅,146.1平米,南 北,精装,低楼层(共9层),932,63792,共有
三元二村3楼,近轨道交通西环路站,2室1厅,62.15平米,南,精装,6层,153,24618,共有
华润凯旋门大三房  双阳台  采光无遮挡  满两年,3室2厅,123.61平米,南,毛坯,低楼层(共34层),288,23300,非共有
此房 全新装修户型 采光边套，户型正气，房东急售,3室2厅,94平米,南,精装,中楼层(共27层),134,14256,非共有
单价低 面积大 南北通透 业主诚意出售,3室2厅,185.35平米,南 北,毛坯,高楼层(共6层),168,9064,非共有
，楼层好，没有任何遮挡保养很好诚心出售,3室2厅,88.81平米,南,精装,中楼层(共11层),247.8,27903,共有
两房朝南 全明户型 一楼带院子 采光无影响,2室1厅,65平米,南,精装,低楼层(共6层),198,30462,非共有
月亮湾 3室1厅 南,3室1厅,69.5平米,南,精装,中楼层(共6层),183,26331,共有
千灯裕花园，精装修两房拎包入住，看房有钥匙,2室2厅,95.65平米,南,精装,中楼层(共27层),130,13592,共有
东湖林语精装大一房，高楼层，采光好,1室2厅,71.09平米,南,精装,16层,276,38825,共有
业主急售看房随时独墅湖湖景房满五年随时可以签约,3室2厅,183.01平米,南 北,毛坯,中楼层(共27层),630,34425,非共有
莲花模范小区 温馨小户 诚意出售,2室1厅,67.76平米,南,精装,中楼层(共4层),195,28779,共有
此房是好房子，业主随时过来开门,2室2厅,66.09平米,南,简装,高楼层(共30层),121,18309,共有
狮山新苑，自住精装修，满五年税少，看房方便,2室1厅,83平米,南,精装,中楼层(共6层),409,49278,非共有
碟湖湾 下叠别墅 24小时全天看房  急售价格可谈,6室4厅,281.16平米,南,精装,低楼层(共4层),528.5,18798,共有
春之韵户型好，采光好.诚心出售,3室2厅,118.24平米,南,简装,高楼层(共18层),483.8,40917,非共有
采光无遮挡，中楼层，南北朝向，婚房精装未住人。,3室2厅,139.39平米,南,精装,中楼层(共6层),360,25827,非共有
立达，沧浪一实小，白菜顶复，空中花园，大汽车库,4室2厅,205.47平米,南,精装,高楼层(共5层),500,24335,非共有
虎丘婚纱城 领秀金品花苑 前排视野采光好 满2年 诚售,3室2厅,110.39平米,南,毛坯,高楼层(共29层),245,22195,共有
金色精装小三房、采光全天充足、地铁口旁、诚意出售！,3室2厅,89.17平米,南,精装,高楼层(共6层),297,33308,共有
好房出售.中间楼层采光好.装修保养很好,3室2厅,131.65平米,南,精装,中楼层(共22层),538,40866,非共有
园中苑别墅区里只有34户此户型，非一楼只有17户。,3室2厅,148.38平米,南,精装,3层,560,37741,共有
满五年，方洲西交大，有一个地下长租车位,3室2厅,131.18平米,南,精装,25层,462,35219,共有
柠府方正三房，采光耀眼，小区环境好,3室2厅,95.3平米,南,毛坯,高楼层(共18层),208.8,21910,非共有
精装多层，单层单户，四房三卫，基本没住过，拎包入住,4室2厅,176.29平米,南,精装,中楼层(共6层),619,35113,共有
彩香二村 三开间朝南 中间楼层 采光无遮挡 出门地铁,2室1厅,59.5平米,南,简装,中楼层(共6层),155,26051,非共有
滨江汇 3室2厅 南,3室2厅,89平米,南,精装,34层,188,21124,共有
此房满五年，户口已迁走，户型正气，看房方便,2室2厅,86.86平米,南,精装,低楼层(共6层),254.6,29312,共有
顶楼复式小三房 另加阁楼 总价低 采光好,3室2厅,79.54平米,南,简装,高楼层(共5层),188,23636,非共有
楼层好，精装三房，房东外地置业，随时看房,3室2厅,86.69平米,南,精装,中楼层(共27层),416,47988,非共有
急售城西风景英伦高品质住宅景观楼层首付只要99万,3室2厅,95.97平米,南,精装,中楼层(共5层),248,25842,共有
拎包入住，新装修，采光好，C2户型,3室1厅,88.8平米,南,精装,低楼层(共18层),295,33221,非共有
享你所想，二次装修，自住标准，万科大横厅，拎包入住,4室2厅,170.6平米,南,精装,26层,940,55100,非共有
房东自主精装修，小区未来可能会装电梯,4室1厅,61.85平米,南,精装,高楼层(共7层),156,25223,共有
房东诚心出售精装3房，小高层，次顶楼，湖景好,3室2厅,125.13平米,南,精装,高楼层(共10层),615,49149,共有
新创宝带熙岸，正三房，精装修，诚意出售！,3室2厅,121.01平米,南 北,精装,中楼层(共11层),276,22809,共有
精装四房  全新未住  满五唯一 房龄新 房型布局合理,4室2厅,136.78平米,南,精装,低楼层(共17层),643,47010,非共有
万科品质 三开间朝南 楼层好 视野开阔 采光好户型佳,3室2厅,89.07平米,南,精装,高楼层(共34层),214.9,24128,共有
凤凰城精装大三房 不靠高架 双阳台 有钥匙看房随时,3室2厅,131.41平米,南 北,精装,低楼层(共25层),375,28537,共有
南山檀郡精装3房，朝南精装，有钥匙随时看房,3室2厅,87.97平米,南,精装,中楼层(共17层),255,28988,非共有
阳光假日 轻轨口 满两年 3房总价低 楼层位置好,3室2厅,99.47平米,南,精装,高楼层(共11层),290,29155,共有
护城河  小区环境优美  交通便利    位置好,3室2厅,96.96平米,南,精装,中楼层(共4层),375,38676,非共有
小区中间位置 安静空气清新 不靠高架  中高楼层,3室2厅,95.56平米,南,精装,中楼层(共26层),245,25639,共有
全屋地暖，美式精装，金典户型，中间位置，正三房,3室2厅,96.12平米,南,精装,低楼层(共5层),429,44632,共有
富贵花园 3室1厅 南,3室1厅,83.7平米,南,精装,中楼层(共6层),148,17683,共有
丽都阳光 花园洋房 南北通透 带前后露台 看房提前预约,3室2厅,89.73平米,南,简装,中楼层(共7层),160,17832,非共有
位置好，楼层好，好房子，好价格，看房有钥匙随时看房,2室2厅,84.66平米,南,精装,高楼层(共24层),241,28467,非共有
尼盛滨江城，毛坯三房，看房方便，随时可看,3室1厅,90.25平米,北 南,毛坯,高楼层(共25层),173,19169,非共有
精装满二，地铁洋房，诚心出售，价格可谈,3室2厅,114.59平米,南,精装,中楼层(共14层),280,24435,非共有
蝶湖湾三期精装大俩房 户型方正 看房方便,2室2厅,95.23平米,南,精装,高楼层(共40层),136,14282,共有
房东急售锦景园小两房，楼层好户型正朝南两室两房,2室1厅,78.74平米,南,毛坯,中楼层(共6层),86,10923,非共有
s1站点，大二房，南北通透，带车库 满五税少 好看房,2室2厅,97平米,南 北,简装,低楼层(共6层),147,15155,共有
此房远离马路，安静不吵，景观楼层，采光通透性好,2室1厅,79.05平米,南,简装,低楼层(共24层),143.5,18154,非共有
绿地21城中式边套别墅 位置好 大花园 带地下室,3室2厅,154.93平米,南,毛坯,低楼层(共3层),340,21946,共有
赵厍花园B区，好楼层，双阳台，带车库，看房随时,2室2厅,91.18平米,南,精装,低楼层(共6层),178,19522,共有
满五年，交通便利，生活方便，楼间距宽，适宜居住,1室1厅,47.16平米,南,简装,中楼层(共18层),118,25022,共有
梅亭苑精装刚需复式，03年房龄带7平独库，随时可看。,2室1厅,76.72平米,南,精装,高楼层(共5层),156,20334,非共有
地铁口万达70年产权，满足人均18平米,边户带窗,1室1厅,56.73平米,南,精装,高楼层(共29层),175,30848,共有
城西两房 娄江+培本 满五唯一 急售好房 房东诚心出售,2室2厅,77.79平米,南,精装,低楼层(共18层),165,21211,非共有
金辉融桥城双拼别墅 地铁口  带地下室带花园 有钥匙,6室3厅,497.13平米,南,毛坯,3层,1050,21122,共有
花桥11号线地铁口 南北通透 大二房边套 采光好 好看房,2室2厅,94.99平米,南 北,精装,高楼层(共6层),149.5,15739,共有
楼层好，朝南户型，交通方便，周别配套设施齐全,1室1厅,46.62平米,南,毛坯,中楼层(共7层),35.4,7594,共有
此房满五唯一 精装大两房 带自行车库 房子再景观带上,2室2厅,104.21平米,南 北,精装,低楼层(共9层),235,22551,非共有
护城河河景顶楼复式独库两房 车位另售全屋红蚂蚁装修,4室2厅,116.5平米,南,精装,高楼层(共11层),410,35194,非共有
城市生活广场精装1室，拎包入住，近万达，生活便利.,1室1厅,57.89平米,南,精装,低楼层(共39层),84.5,14597,共有
急售太湖新城两房，刚需必备，可做婚房，家具家电全留,2室2厅,62.95平米,南,精装,高楼层(共18层),138,21923,共有
诚意出售 满五唯一 中上楼层 视野开阔 户型方正,2室2厅,78.51平米,南,精装,中楼层(共20层),188,23946,共有
苏香名园 3室2厅 南,3室2厅,144平米,南,精装,高楼层(共5层),239,16598,非共有
精装 满五唯一 楼层位置好 视野开阔 业主诚心出售,3室2厅,84.93平米,南,精装,低楼层(共39层),207,24374,共有
首付50万 电梯3房 户型方正 满五唯一 采光无遮挡,3室2厅,93.99平米,南,简装,高楼层(共10层),148,15747,共有
精装 拎包入住 刚需三房 首付30万,3室2厅,90.02平米,南,精装,中楼层(共8层),135,14997,共有
园区 独墅苑 品质小区 安静位置 户型少 非顶层,2室2厅,98.34平米,南 北,精装,中楼层(共5层),265,26948,非共有
领秀金品花苑 3室2厅 南 北,3室2厅,110.39平米,南 北,毛坯,低楼层(共27层),210,19024,非共有
此房满2年税费少，精装修保养好楼层景观好，视野开阔,3室2厅,95.48平米,南,精装,高楼层(共27层),139.5,14611,共有
环境优雅，生活设施完善，楼层好，采光好,3室2厅,91.04平米,西南,毛坯,中楼层(共20层),179,19662,共有
全新毛坯三房 采光无遮挡  房东诚心出售 随时看房,3室2厅,104.3平米,南,毛坯,高楼层(共26层),279,26750,非共有
金色小户 不靠路 中间楼层 带15平车库 看房方便,2室2厅,63.32平米,南,精装,中楼层(共5层),192,30323,非共有
房子满五唯一，精装修，房东急售,2室1厅,62.05平米,南,精装,高楼层(共18层),145,23369,共有
郡尚海精装修三房满二 业主自住 诚心出售 方便看房,3室1厅,89.79平米,南,精装,高楼层(共32层),207.4,23098,非共有
高铁高架高速园区东 茗景苑79平精装修带车库拎包入住,2室2厅,79.44平米,南,精装,中楼层(共7层),113,14225,非共有
环秀湖花园精装三居室房东诚意出售欢迎看房,3室2厅,89.93平米,南,精装,高楼层(共29层),220,24464,非共有
橡树湾3期，经典复式，全新毛坯，随时可看,4室2厅,124平米,南,毛坯,高楼层(共22层),285,22984,非共有
急售！捡漏！中锐府上大三房 有大车位 此价含大储藏室,3室2厅,125.46平米,南 北,毛坯,高楼层(共27层),448,35709,非共有
现代花园 2室1厅 南,2室1厅,61.7平米,南,简装,低楼层(共6层),150,24312,非共有
4号线 简装3房 品质金辉 中间楼层 采光好 满四年唯一,3室2厅,98.81平米,南 北,简装,中楼层(共24层),237,23986,共有
合景二期 五房户型 南北通透 看房随时 车位充足,5室2厅,131.06平米,南 北,精装,中楼层(共18层),368,28079,共有
三房两厅两卫，中间楼层，诚心急售,3室2厅,102.9平米,南,精装,高楼层(共15层),352,34208,共有
昂内天骄花园小区前排2房，中高楼层视野开阔,2室2厅,99.83平米,南,毛坯,中楼层(共13层),205,20535,共有
苏州基建开发，学士街学士林，人文范足，宜居别墅。,3室2厅,276.22平米,南,毛坯,低楼层(共3层),990,35841,非共有
精心推荐地铁口，金城花园147平南北通大三房，急售,3室2厅,145.84平米,南 北,毛坯,低楼层(共11层),196.5,13474,非共有
国际华城联排中间套，清水毛坯，南花园，带地下室,4室2厅,198.91平米,南 北,毛坯,3层,352,17697,非共有
楼层好 视野宽阔 采光充足 满两年,4室2厅,140平米,南 北,毛坯,高楼层(共6层),288,20572,共有
房东自住装修  带地暖 满2税少 中间楼层  临S1号线,3室2厅,87.94平米,南 北,精装,高楼层(共30层),173,19673,共有
湖东邻里商圈三房，保养佳，随时看,3室2厅,128.8平米,南,精装,16层,532,41305,共有
嘉业阳光假日 通透户型 东边户不靠马路 附带入室花园,3室2厅,142.24平米,南,精装,中楼层(共11层),379,26646,非共有
园区2010年建的电梯房，满五唯一省个税1%,3室2厅,108.07平米,南,精装,高楼层(共18层),302,27945,共有
绿地21城A区叠加别墅，全明户型、满两年，看房随时,4室2厅,164.48平米,南,毛坯,中楼层(共4层),305,18544,非共有
诚心出售，朝南两室，装修好，保养很好。,2室1厅,63.17平米,南,精装,中楼层(共11层),175,27704,共有
邻近幼儿园，出行方便，星港未用,2室1厅,49.9平米,南,简装,高楼层(共6层),127.6,25572,非共有
房东诚意出售，精装修，通透户型，视野好，采光足..,3室1厅,87.85平米,南,精装,低楼层(共18层),277,31532,共有
园区悦湖花园精装小三房，小区中间位置,3室1厅,89.85平米,南,精装,低楼层(共24层),300,33389,非共有
5楼精装修复式三层空中别墅诚心出售,4室2厅,160平米,南,精装,高楼层(共5层),243,15188,非共有
地铁口精装复式房 包含车库  房东急售，位置安逸,4室2厅,114平米,南,精装,中楼层(共5层),241,21141,共有
业主自住全新装修，买一层得两层，带大露台，换房急售,4室2厅,90.09平米,南,精装,高楼层(共5层),266,29527,非共有
小高层 出租的 满两年 省增值税 位置楼层好。,3室1厅,87.23平米,南 北,精装,高楼层(共27层),188,21553,共有
香城花园一区 多层精装修，保养不错，带独立20平车库!,3室2厅,121.68平米,南,精装,中楼层(共6层),238,19560,共有
新康好房，单价低，出行方便，低楼层，适合居住。。。,3室2厅,116.64平米,南,精装,低楼层(共6层),288,24692,非共有
临顿路齐门路博物馆敬文平江低楼层满五年有钥匙,2室2厅,94.91平米,南,精装,中楼层(共4层),242,25498,共有
钻石楼层 百米楼间距 精装三房 满五唯一 随时看房,3室1厅,84.93平米,南 北,精装,中楼层(共39层),206,24256,非共有
精装修自住房源   地铁口旁 诚心出售,3室2厅,89.09平米,南,精装,中楼层(共28层),273,30644,共有
大四房2厅2卫，中间楼层，湖景房，随时看房,4室2厅,129.9平米,南 北,简装,高楼层(共18层),280,21556,非共有
活力岛水漾花城满足您挑剔目光的精装大三房看中好谈,3室2厅,134.34平米,南 北,精装,中楼层(共26层),340,25309,共有
万科置地 自持物业 精装保养好 楼层好 有车位可单售,3室2厅,84.95平米,南 北,精装,中楼层(共9层),233,27428,共有
南北通透实用型三房 中间楼层 空置多年 看房随时,3室2厅,89.19平米,南 北,精装,23层,400,44849,非共有
尹山湖湖韵佳苑，尹山湖地铁口，爱情海广场,3室2厅,107.03平米,南,毛坯,中楼层(共24层),290,27096,非共有
水语金成花园，中间位置，精装修，买断车位，拎包入住,3室2厅,93.47平米,南,精装,中楼层(共18层),238,25463,非共有
采光好，满五年，3开间朝南，户型正，保养好,3室2厅,123.53平米,南,精装,低楼层(共18层),548,44362,共有
首开悦澜湾 小高层精装三房 户型好 90得房率 采光刺眼,3室2厅,89.04平米,南,精装,中楼层(共9层),316,35490,非共有
滨江汇好楼层边套出售，满二，房东诚心卖。,3室2厅,91.48平米,南,毛坯,33层,177,19349,非共有
东湖大郡一期 宽敞大3房2卫 地暖 靠河 位置安静,3室2厅,149.91平米,南 北,精装,18层,569,37957,非共有
花桥绿地21城C区复式 精装修带暖气片 采光充足 满5年,4室2厅,187.45平米,西北,精装,中楼层(共6层),295,15738,共有
诚心急售 奥体板块 凤凰城精装三房 户型方正 采光好,3室2厅,129.36平米,南,精装,高楼层(共18层),369,28526,共有
常发枫亭精装洋房满二急出售     清静优雅采光,3室1厅,94.44平米,南,精装,中楼层(共6层),193,20437,非共有
双湖版块少量湖景房，随时可上XUE，税费少，诚意出售,2室2厅,106.88平米,南,精装,中楼层(共27层),459,42946,共有
全新装修瀚河苑小三房，采光无影响，中间9楼层,3室2厅,88.88平米,南,精装,低楼层(共32层),365,41067,共有
万科北宸之光洋房精装三房，满两年，拎包即住,3室2厅,84.98平米,南,精装,中楼层(共9层),231.7,27266,共有
朗诗未来街区 精装3居室 省税费  采光好 诚心出售,3室2厅,76.15平米,南,精装,中楼层(共6层),279,36639,非共有
婚装35万自住好房 三房两卫东边户 位置好 不靠高架,3室2厅,132.32平米,南 北,精装,高楼层(共26层),277,20935,共有
平直振华 中间楼层 精装修 采光充足,3室1厅,71.6平米,南,精装,中楼层(共4层),280,39107,非共有
纯毛坯大三房，看房随时，楼层采光好。,3室2厅,118.46平米,南 北,毛坯,中楼层(共4层),285,24059,非共有
万达商圈，易初莲花边上，昆山花园精装出售,3室2厅,113.87平米,南,精装,中楼层(共6层),210.8,18513,共有
合景八期 三开间朝南 精装好楼层,3室1厅,90.5平米,南,精装,中楼层(共15层),235,25967,非共有
湄长新村 3室1厅 南,3室1厅,73.16平米,南,精装,低楼层(共6层),166,22690,共有
坐拥狮山商圈 顶楼带阁楼 南北透明 保养好 看房有钥匙,3室2厅,85.19平米,南,精装,高楼层(共6层),230,26999,非共有
一线湖景轻轨沿线  水系围绕 纯毛坯大三房两卫,3室2厅,108.05平米,南,毛坯,高楼层(共34层),248,22953,非共有
三元二村好房推荐，诚心出售，少有的好房,3室1厅,82.17平米,南,简装,6层,188,22880,共有
通透三房 户型方正 无遮挡 小高层 诚意出售,3室2厅,97.73平米,南,精装,高楼层(共9层),340,34790,非共有
东湖大郡三期，高楼层全湖景，采光好，满五年诚意出售,3室2厅,115.31平米,南 北,精装,26层,510,44229,共有
橡树湾纯毛坯边户，全明户型南北通透，带入户花园,3室2厅,110.49平米,南 北,毛坯,中楼层(共22层),263,23804,非共有
房子满两年，70年产权公寓，单独卧室和客厅，提前约看,1室2厅,62.34平米,北,简装,低楼层(共19层),90,14437,非共有
东大街吴县新村两室一厅全装修家具家电齐全满五年,3室1厅,39平米,南,简装,低楼层(共3层),111,28462,共有
雍景湾湖景大平层、精装拎包入住、次顶楼视野棒棒的,4室2厅,143.61平米,南 东,精装,高楼层(共16层),545,37951,共有
马浜花园精装自住满两年维修基金已交诚心出售看中可谈,2室1厅,62.24平米,南,精装,中楼层(共5层),174.5,28037,非共有
苏安新上好房 一楼带院子 精装修 房东诚售,2室1厅,51.26平米,南,精装,低楼层(共7层),168.8,32931,共有
理想家园 精装三房 满五唯一 近地铁,3室2厅,109.27平米,南,精装,低楼层(共18层),192,17572,非共有
护城河畔 桂花公园 三楼 采光好 两房朝南 有钥匙,2室1厅,54.63平米,南,精装,中楼层(共5层),142,25994,共有
景城经典两房户型方正边上交通购物生活便利,2室1厅,90.64平米,南,简装,低楼层(共27层),445,49096,非共有
吴中二村·精装四房·看房方便·房东诚心出售,4室2厅,86.7平米,南,精装,高楼层(共5层),213,24568,共有
彩香二村，精装刚需两房，楼层好，户型正气，诚心出售,2室1厅,44.26平米,南,精装,低楼层(共7层),108,24402,共有
诚心出售，采光刺眼，好位置好楼层，此房不满二。,4室1厅,140.25平米,南,精装,中楼层(共32层),355,25312,共有
森林公园景观小三房  位置好 全天候采光 有钥匙,3室2厅,105.31平米,南,毛坯,中楼层(共20层),410,38933,共有
二中加实小 三开间朝南 景观楼层 位置好 有钥匙,3室2厅,105.31平米,南,毛坯,中楼层(共20层),430,40832,共有
80平朝南大两房 东边户 有钥匙,2室1厅,80.34平米,南,精装,低楼层(共30层),154.8,19269,共有
香樟园  带装修三房  满五唯一 中间楼层   看房方便,3室2厅,89.74平米,南,精装,中楼层(共30层),205,22844,非共有
第五元素方正一房，全明户型，前排采光无遮挡，有钥匙,1室1厅,63.67平米,南,简装,13层,278,43663,共有
莲花新村三区 1室1厅 南,1室1厅,45.82平米,南,简装,中楼层(共4层),133,29027,共有
繁华里急售：地铁口80平2房，户型好，全明采光，满二,2室2厅,80.53平米,南,毛坯,低楼层(共22层),150,18627,共有
小区中间楼幢，无任何噪音，楼层不错，看中拿价来谈！,2室1厅,78.13平米,南 北,精装,高楼层(共15层),204,26111,非共有
彩虹新村 中间楼层   户型方正一室,1室1厅,40.17平米,南,精装,中楼层(共6层),95,23650,共有
业主处理资产，诚心出售，中间楼层，采光无遮挡,2室2厅,77.58平米,南,简装,高楼层(共30层),218,28101,共有
带独库 南北通风户型，随时看房 中装 房东诚心出售,1室1厅,47.31平米,南,简装,低楼层(共5层),95,20081,非共有
此房产证满二年，户型动静分离，诚心出售，价格可谈,3室1厅,104.25平米,南,毛坯,高楼层(共25层),185,17746,非共有
富泽苑 2房拎包入住 满5年 带车库,2室2厅,86平米,南 北,精装,低楼层(共6层),116,13489,共有
新上古宫小户型一室一厅精装好房,1室1厅,51平米,南,精装,中楼层(共10层),83,16275,共有
南山柠檬花园  边户 四房 精装修 位置安静 急售,4室2厅,134.07平米,南,精装,中楼层(共18层),335,24987,非共有
水韵花都 通透三房 精装修 好位置 好楼层 好价格,3室2厅,89平米,南,精装,高楼层(共15层),235,26405,共有
新苑村·三楼中等装修·带独库·房东诚心出售,3室1厅,71.41平米,南,精装,中楼层(共6层),156,21846,共有
代卫亮推荐城北九方城商圈三房/精装中间楼层带车库,3室2厅,118.12平米,南 北,精装,低楼层(共6层),226,19134,共有
总价低学QU未用，三期方正户型，出门地铁华润,2室2厅,93.87平米,南,精装,32层,342,36434,非共有
